日期,渠道,阅读人数
2026-06-01,公众号消息,128
2026-06-01,聊天会话,596
2026-06-01,朋友圈,589
2026-06-01,公众号主页,237
2026-06-01,其他,84
2026-06-01,推荐,6781
2026-06-01,搜一搜,44
2026-06-01,全部,8269
2026-06-02,公众号消息,160
2026-06-02,聊天会话,719
2026-06-02,朋友圈,599
2026-06-02,公众号主页,464
2026-06-02,其他,177
2026-06-02,推荐,5875
2026-06-02,搜一搜,75
2026-06-02,全部,7817
2026-06-03,公众号消息,338
2026-06-03,聊天会话,589
2026-06-03,朋友圈,632
2026-06-03,公众号主页,576
2026-06-03,其他,212
2026-06-03,推荐,5268
2026-06-03,搜一搜,90
2026-06-03,全部,7438
2026-06-04,公众号消息,425
2026-06-04,聊天会话,572
2026-06-04,朋友圈,187
2026-06-04,公众号主页,536
2026-06-04,其他,217
2026-06-04,推荐,5174
2026-06-04,搜一搜,101
2026-06-04,全部,6956
2026-06-05,公众号消息,395
2026-06-05,聊天会话,486
2026-06-05,朋友圈,291
2026-06-05,公众号主页,588
2026-06-05,其他,224
2026-06-05,推荐,4997
2026-06-05,搜一搜,103
2026-06-05,全部,6835
2026-06-06,公众号消息,397
2026-06-06,聊天会话,634
2026-06-06,朋友圈,176
2026-06-06,公众号主页,495
2026-06-06,其他,198
2026-06-06,推荐,4663
2026-06-06,搜一搜,88
2026-06-06,全部,6461
2026-06-07,公众号消息,457
2026-06-07,聊天会话,556
2026-06-07,朋友圈,201
2026-06-07,公众号主页,545
2026-06-07,其他,185
2026-06-07,推荐,4633
2026-06-07,搜一搜,79
2026-06-07,全部,6451
2026-06-08,公众号消息,734
2026-06-08,聊天会话,1324
2026-06-08,朋友圈,841
2026-06-08,公众号主页,1057
2026-06-08,其他,374
2026-06-08,推荐,9693
2026-06-08,搜一搜,225
2026-06-08,全部,13704
2026-06-09,公众号消息,849
2026-06-09,聊天会话,1631
2026-06-09,朋友圈,795
2026-06-09,公众号主页,1258
2026-06-09,其他,381
2026-06-09,推荐,12561
2026-06-09,搜一搜,273
2026-06-09,全部,17119
2026-06-10,公众号消息,1058
2026-06-10,聊天会话,1580
2026-06-10,朋友圈,1146
2026-06-10,公众号主页,1276
2026-06-10,其他,417
2026-06-10,推荐,12299
2026-06-10,搜一搜,284
2026-06-10,全部,17483
2026-06-11,公众号消息,895
2026-06-11,聊天会话,1234
2026-06-11,朋友圈,898
2026-06-11,公众号主页,914
2026-06-11,其他,358
2026-06-11,推荐,10078
2026-06-11,搜一搜,270
2026-06-11,全部,14224
2026-06-12,公众号消息,1187
2026-06-12,聊天会话,952
2026-06-12,朋友圈,580
2026-06-12,公众号主页,919
2026-06-12,其他,300
2026-06-12,推荐,6933
2026-06-12,搜一搜,203
2026-06-12,全部,10779
2026-06-13,公众号消息,746
2026-06-13,聊天会话,669
2026-06-13,朋友圈,418
2026-06-13,公众号主页,576
2026-06-13,其他,182
2026-06-13,推荐,4537
2026-06-13,搜一搜,132
2026-06-13,全部,7077
2026-06-14,公众号消息,329
2026-06-14,聊天会话,498
2026-06-14,朋友圈,361
2026-06-14,公众号主页,361
2026-06-14,其他,151
2026-06-14,推荐,2938
2026-06-14,搜一搜,127
2026-06-14,全部,4663
2026-06-15,公众号消息,1085
2026-06-15,聊天会话,671
2026-06-15,朋友圈,570
2026-06-15,公众号主页,802
2026-06-15,其他,306
2026-06-15,推荐,5033
2026-06-15,搜一搜,226
2026-06-15,全部,8419
2026-06-16,公众号消息,896
2026-06-16,聊天会话,714
2026-06-16,朋友圈,513
2026-06-16,公众号主页,853
2026-06-16,其他,239
2026-06-16,推荐,5507
2026-06-16,搜一搜,258
2026-06-16,全部,8667
2026-06-17,公众号消息,207
2026-06-17,聊天会话,459
2026-06-17,朋友圈,185
2026-06-17,公众号主页,710
2026-06-17,其他,264
2026-06-17,推荐,4565
2026-06-17,搜一搜,208
2026-06-17,全部,6370
2026-06-18,公众号消息,162
2026-06-18,聊天会话,409
2026-06-18,朋友圈,191
2026-06-18,公众号主页,573
2026-06-18,其他,201
2026-06-18,推荐,3608
2026-06-18,搜一搜,164
2026-06-18,全部,5159
2026-06-19,公众号消息,419
2026-06-19,聊天会话,223
2026-06-19,朋友圈,124
2026-06-19,公众号主页,408
2026-06-19,其他,134
2026-06-19,推荐,1831
2026-06-19,搜一搜,94
2026-06-19,全部,3144
2026-06-20,公众号消息,655
2026-06-20,聊天会话,223
2026-06-20,朋友圈,151
2026-06-20,公众号主页,439
2026-06-20,其他,133
2026-06-20,推荐,1645
2026-06-20,搜一搜,131
2026-06-20,全部,3280
2026-06-21,公众号消息,514
2026-06-21,聊天会话,233
2026-06-21,朋友圈,197
2026-06-21,公众号主页,464
2026-06-21,其他,122
2026-06-21,推荐,1640
2026-06-21,搜一搜,123
2026-06-21,全部,3189
2026-06-22,公众号消息,710
2026-06-22,聊天会话,367
2026-06-22,朋友圈,74
2026-06-22,公众号主页,748
2026-06-22,其他,234
2026-06-22,推荐,2545
2026-06-22,搜一搜,223
2026-06-22,全部,4720
2026-06-23,公众号消息,896
