日期,渠道,阅读人数
2026-07-12,公众号消息,594
2026-07-12,聊天会话,368
2026-07-12,朋友圈,259
2026-07-12,公众号主页,405
2026-07-12,其他,128
2026-07-12,推荐,2635
2026-07-12,搜一搜,122
2026-07-12,全部,4370
2026-07-13,公众号消息,937
2026-07-13,聊天会话,654
2026-07-13,朋友圈,645
2026-07-13,公众号主页,654
2026-07-13,其他,180
2026-07-13,推荐,4376
2026-07-13,搜一搜,241
2026-07-13,全部,7418
2026-07-14,公众号消息,729
2026-07-14,聊天会话,664
2026-07-14,朋友圈,400
2026-07-14,公众号主页,601
2026-07-14,其他,260
2026-07-14,推荐,3207
2026-07-14,搜一搜,256
2026-07-14,全部,5921
2026-07-15,公众号消息,590
2026-07-15,聊天会话,627
2026-07-15,朋友圈,578
2026-07-15,公众号主页,643
2026-07-15,其他,207
2026-07-15,推荐,2805
2026-07-15,搜一搜,267
2026-07-15,全部,5518
2026-07-16,公众号消息,450
2026-07-16,聊天会话,481
2026-07-16,朋友圈,528
2026-07-16,公众号主页,563
2026-07-16,其他,165
2026-07-16,推荐,3076
2026-07-16,搜一搜,225
2026-07-16,全部,5320
2026-07-17,公众号消息,542
2026-07-17,聊天会话,415
2026-07-17,朋友圈,247
2026-07-17,公众号主页,552
2026-07-17,其他,163
2026-07-17,推荐,2832
2026-07-17,搜一搜,194
2026-07-17,全部,4775
2026-07-18,公众号消息,896
2026-07-18,聊天会话,357
2026-07-18,朋友圈,301
2026-07-18,公众号主页,443
2026-07-18,其他,132
2026-07-18,推荐,3177
2026-07-18,搜一搜,109
2026-07-18,全部,5257
2026-07-19,公众号消息,298
2026-07-19,聊天会话,502
2026-07-19,朋友圈,642
2026-07-19,公众号主页,514
2026-07-19,其他,143
2026-07-19,推荐,4850
2026-07-19,搜一搜,164
2026-07-19,全部,6926
2026-07-20,公众号消息,981
2026-07-20,聊天会话,952
2026-07-20,朋友圈,665
2026-07-20,公众号主页,827
2026-07-20,其他,299
2026-07-20,推荐,6606
2026-07-20,搜一搜,341
2026-07-20,全部,10257
2026-07-21,公众号消息,281
2026-07-21,聊天会话,940
2026-07-21,朋友圈,653
2026-07-21,公众号主页,801
2026-07-21,其他,241
2026-07-21,推荐,6557
2026-07-21,搜一搜,295
2026-07-21,全部,9442
2026-07-22,公众号消息,1087
2026-07-22,聊天会话,755
2026-07-22,朋友圈,432
2026-07-22,公众号主页,851
2026-07-22,其他,285
2026-07-22,推荐,5801
2026-07-22,搜一搜,335
2026-07-22,全部,9224
2026-07-23,公众号消息,790
2026-07-23,聊天会话,1053
2026-07-23,朋友圈,785
2026-07-23,公众号主页,780
2026-07-23,其他,309
2026-07-23,推荐,7003
2026-07-23,搜一搜,304
2026-07-23,全部,10647
2026-07-24,公众号消息,779
2026-07-24,聊天会话,640
2026-07-24,朋友圈,379
2026-07-24,公众号主页,700
2026-07-24,其他,249
2026-07-24,推荐,4791
2026-07-24,搜一搜,322
2026-07-24,全部,7611
2026-07-25,公众号消息,672
2026-07-25,聊天会话,365
2026-07-25,朋友圈,641
2026-07-25,公众号主页,453
2026-07-25,其他,137
2026-07-25,推荐,2190
2026-07-25,搜一搜,169
2026-07-25,全部,4485
2026-07-26,公众号消息,678
2026-07-26,聊天会话,295
2026-07-26,朋友圈,320
2026-07-26,公众号主页,292
2026-07-26,其他,104
2026-07-26,推荐,1941
2026-07-26,搜一搜,167
2026-07-26,全部,3686
2026-07-27,公众号消息,1215
2026-07-27,聊天会话,742
2026-07-27,朋友圈,469
2026-07-27,公众号主页,748
2026-07-27,其他,249
2026-07-27,推荐,4563
2026-07-27,搜一搜,297
2026-07-27,全部,8023
2026-07-28,公众号消息,863
2026-07-28,聊天会话,794
2026-07-28,朋友圈,578
2026-07-28,公众号主页,621
2026-07-28,其他,235
2026-07-28,推荐,4137
2026-07-28,搜一搜,229
2026-07-28,全部,7210
2026-07-29,公众号消息,804
2026-07-29,聊天会话,602
2026-07-29,朋友圈,344
2026-07-29,公众号主页,597
2026-07-29,其他,244
2026-07-29,推荐,3637
2026-07-29,搜一搜,243
2026-07-29,全部,6239
2026-07-30,公众号消息,733
2026-07-30,聊天会话,749
2026-07-30,朋友圈,424
2026-07-30,公众号主页,581
2026-07-30,其他,216
2026-07-30,推荐,4082
2026-07-30,搜一搜,256
2026-07-30,全部,6803
2026-07-31,公众号消息,809
2026-07-31,聊天会话,727
2026-07-31,朋友圈,329
2026-07-31,公众号主页,459
2026-07-31,其他,177
2026-07-31,推荐,3264
2026-07-31,搜一搜,239
2026-07-31,全部,5826
2026-08-01,公众号消息,553
2026-08-01,聊天会话,652
2026-08-01,朋友圈,480
2026-08-01,公众号主页,299
2026-08-01,其他,118
2026-08-01,推荐,4457
2026-08-01,搜一搜,126
2026-08-01,全部,6582
2026-08-02,公众号消息,402
2026-08-02,聊天会话,691
2026-08-02,朋友圈,425
2026-08-02,公众号主页,303
2026-08-02,其他,107
2026-08-02,推荐,4182
2026-08-02,搜一搜,119
2026-08-02,全部,6112
2026-08-03,公众号消息,768
2026-08-03,聊天会话,763
2026-08-03,朋友圈,508
2026-08-03,公众号主页,481
2026-08-03,其他,188
2026-08-03,推荐,3883
2026-08-03,搜一搜,259
2026-08-03,全部,6647
2026-08-04,公众号消息,614
2026-08-04,聊天会话,816
2026-08-04,朋友圈,710
2026-08-04,公众号主页,489
2026-08-04,其他,184
2026-08-04,推荐,4564
2026-08-04,搜一搜,274
2026-08-04,全部,7442
2026-08-05,公众号消息,825
2026-08-05,聊天会话,1364
2026-08-05,朋友圈,1324
2026-08-05,公众号主页,471
2026-08-05,其他,240
2026-08-05,推荐,8035
2026-08-05,搜一搜,265
2026-08-05,全部,12166
2026-08-06,公众号消息,265
2026-08-06,聊天会话,1292
2026-08-06,朋友圈,1212
2026-08-06,公众号主页,382
2026-08-06,其他,200
2026-08-06,推荐,6179
2026-08-06,搜一搜,274
2026-08-06,全部,9566
2026-08-07,公众号消息,861
2026-08-07,聊天会话,939
2026-08-07,朋友圈,833
2026-08-07,公众号主页,458
2026-08-07,其他,185
2026-08-07,推荐,4595
2026-08-07,搜一搜,234
2026-08-07,全部,7889
2026-08-08,公众号消息,556
2026-08-08,聊天会话,528
2026-08-08,朋友圈,701
2026-08-08,公众号主页,239
2026-08-08,其他,111
2026-08-08,推荐,3131
2026-08-08,搜一搜,144
2026-08-08,全部,5295
2026-08-09,公众号消息,362
2026-08-09,聊天会话,356
2026-08-09,朋友圈,752
2026-08-09,公众号主页,225
2026-08-09,其他,104
2026-08-09,推荐,2504
2026-08-09,搜一搜,156
2026-08-09,全部,4382
2026-08-10,公众号消息,637
2026-08-10,聊天会话,854
2026-08-10,朋友圈,873
2026-08-10,公众号主页,454
2026-08-10,其他,161
2026-08-10,推荐,3602
2026-08-10,搜一搜,280
2026-08-10,全部,6672
